a+b, opcount, gcd
4, 0, 1
7, 2, 1
11, 2, 1
18, 3, 1
23, 3, 1
31, 4, 1
36, 5, 9
44, 6, 1
50, 6, 5
56, 8, 8
62, 8, 2
65, 8, 5
84, 11, 7
95, 11, 5
114, 14, 2
123, 15, 3
