a+b, opcount, gcd
4,0,1
7,2,1
11,3,1
18,4,1
23,5,1
31,7,1
36,0,9
44,12,1
50,10,5
56,8,8
62,20,2
65,15,5
84,28,7
95,30,5
114,42,2
123,45,3
